"date","title","location","link"
2015-09-11 09:00:00,"236 - 1420 - Cincinnati, OH Fasttrackazon Inventory Sale September 11th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1420/category/ALL"
2015-09-11 11:30:00,"236 - 188 - West Chester, OH Staples Professional Office September 11th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office188/category/ALL"
2015-09-11 12:00:00,"236 - 1421 - Cincinnati, OH Fasttrackazon Inventory Sale September 11th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1421/category/ALL"
2015-09-11 13:00:00,"236 - 1414 - Cincinnati, OH Merchandise Mayhem September 11th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1414/category/ALL"
2015-09-11 14:00:00,"236 - 1422 - Cincinnati, OH HD.com Home Improvement Retailer September 11th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1422/category/ALL"
2015-09-11 15:30:00,"236 - 189 - West Chester, OH Staples Professional Office September 11th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office189/category/ALL"
2015-09-11 20:30:00,"236 - 190 - West Chester, OH Staples Professional Office September 11th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office190/category/ALL"
2015-09-12 11:00:00,"236 - 1418 - Cincinnati, OH Merchandise Mayhem September 12th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1418/category/ALL"
2015-09-12 11:30:00,"236 - 191 - West Chester, OH Staples Professional Office September 12th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office191/category/ALL"
2015-09-13 17:00:00,"236 - 1424 - Cincinnati, OH Handy Man's Dream Tools September 13th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1424/category/ALL"
2015-09-13 20:30:00,"236 - 192 - West Chester, OH Staples Professional Office September 13th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office192/category/ALL"
